# Energy HIT_S59 HIT_S100 HIT_S200 G4_Cu G4_Cu_vac G4_S59-Ag/KA G4_S100-Ag/KA G4_S200-Ag/KA G4_S59-Ag/KA_vac G4_S100-Ag/KA_vac G4_S200-Ag/KA_vac G4_S59+Ag/KA G4_S100+Ag/KA G4_S200+Ag/KA G4_S59+Ag/KA_vac G4_S100+Ag/KA_vac G4_S200+Ag/KA_vac #
70.03 -4.3 -6.15 -6.5 -2.5083 0.715 -4.0291 -4.40877 -4.7064 -2.47989 -3.26328 -4.09269 -3.69955 -4.12999 -4.56486 -3.61367 -4.06908 -4.52571  
100.46 -1.5 -5 -5.25 -1.552 0.813 -2.8695 -3.31681 -3.92437 -1.51902 -2.23894 -3.15705 -3.02375 -3.39049 -3.93745 -2.89655 -3.31904 -3.84192  
130.52 -0.75 -4.2 -4.75 -0.9391 0.884 -1.99797 -2.46432 -3.103 -0.98908 -1.5602 -2.42837 -2.56685 -2.90892 -3.39628 -2.39189 -2.72506 -3.22792  
160.09 0 -3.65 -4.1 -0.5299 0.948 -1.4236 -1.83282 -2.48718 -0.60484 -1.11953 -1.90571 -2.18989 -2.47178 -2.93731 -1.97442 -2.28724 -2.79549  
190.48 0.75 -2.85 -3.5 -0.2171 1.029 -0.97824 -1.35884 -1.9785 -0.32359 -0.78263 -1.49348 -1.87413 -2.10017 -2.55153 -1.64698 -1.91339 -2.3338  
221.06 1.25 -2 -2.3 0.006 1.082 -0.70461 -1.03232 -1.60955 -0.09426 -0.5244 -1.17605 -1.60488 -1.80894 -2.20039 -1.39692 -1.61891 -2.01278  
